"filename", "language", "Python", "comment", "blank", "total"
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\Game3\main.py", "Python", 1, 0, 1, 2
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\Space_Battles\Space_Battles\New\AI.py", "Python", 39, 8, 9, 56
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\Space_Battles\Space_Battles\New\Font.py", "Python", 15, 6, 5, 26
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\Space_Battles\Space_Battles\New\MainGame_Space.py", "Python", 102, 20, 43, 165
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\Space_Battles\Space_Battles\New\Player.py", "Python", 26, 8, 5, 39
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\Space_Battles\Space_Battles\New\Space_Highscore.py", "Python", 62, 10, 12, 84
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\Space_Battles\Space_Battles\New\Spaceships.py", "Python", 10, 5, 2, 17
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\Space_Battles\Space_Battles\New\main_space.py", "Python", 3, 3, 2, 8
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\Space_Battles\Space_Battles\main_old_multiplayer.py", "Python", 136, 11, 56, 203
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\TK_WIN\Login_Window.py", "Python", 605, 57, 238, 900
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\TK_WIN\MAIN.py", "Python", 312, 36, 112, 460
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\TK_WIN\Window_maker.py", "Python", 41, 8, 18, 67
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\slitherio\Game\AI.py", "Python", 26, 10, 11, 47
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\slitherio\Game\Camera.py", "Python", 13, 5, 3, 21
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\slitherio\Game\Font.py", "Python", 10, 5, 2, 17
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\slitherio\Game\MainGame_Slither.py", "Python", 104, 28, 65, 197
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\slitherio\Game\Object.py", "Python", 9, 5, 3, 17
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\slitherio\Game\Orbs.py", "Python", 11, 5, 3, 19
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\slitherio\Game\Player.py", "Python", 24, 12, 14, 50
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\slitherio\Game\Segment.py", "Python", 24, 8, 9, 41
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\slitherio\Game\Slither_Highscore.py", "Python", 61, 10, 14, 85
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\slitherio\Game\Snake.py", "Python", 48, 12, 35, 95
"d:\all_files\My_files\MyInterests\coding\python\12th\programs\skl projects\python\PROJECT_LOGS\Project\slitherio\Game\main_slither.py", "Python", 3, 3, 3, 9
"Total", "-", 1685, 275, 665, 2625
